,partition
2526,2
2527,2056
2528,2
2529,2055
2530,1784
2531,37
2532,782
2533,333
2534,361
2535,159
2536,493
2537,950
2538,160
2539,1233
2540,75
2541,2
2542,161
2543,15
2544,1518
2545,2
2546,1125
2547,293
2548,1451
2549,1126
2550,1127
2551,1128
2552,1129
2553,116
2554,2029
2555,57
2556,1130
2557,790
2558,276
2559,102
2560,2778
2561,1131
2562,2544
2563,2545
2564,2546
2565,2547
2566,2548
2567,2549
2568,2550
2569,2551
2570,2552
2571,2553
2572,2554
2573,2555
2574,2556
2575,2557
2576,2536
2577,2558
2578,2475
2579,522
2580,2
2581,2476
2582,8
2583,1020
2584,2477
2585,2478
2586,2812
2587,2479
2588,2480
2589,197
2590,2536
2591,133
2592,1
2593,2481
2594,151
2595,30
2596,1
2597,1418
2598,480
2599,1836
2600,1219
2601,2252
2602,2
2603,1163
2604,715
2605,99
2606,2459
2607,100
2608,620
2609,334
2610,895
2611,4
2612,2697
2613,2094
2614,896
2615,2138
2616,1777
2617,2482
2618,952
2619,897
2620,898
2621,899
2622,900
2623,1489
2624,901
2625,15
2626,1450
2627,2534
2628,18
2629,2535
2630,2536
2631,2537
2632,2538
2633,2539
2634,15
2635,2540
2636,2541
2637,1618
2638,1183
2639,2542
2640,15
2641,2543
2642,32
2643,490
2644,491
2645,492
2646,115
2647,1414
2648,1968
2649,1501
2650,493
2651,1818
2652,494
2653,495
2654,496
2655,497
2656,1
2657,498
2658,4
2659,846
2660,2435
2661,1974
2662,640
2663,2416
2664,809
2665,2395
2666,1169
2667,979
2668,706
2669,98
2670,1413
2671,2
2672,367
2673,16
2674,75
2675,2715
2676,645
2677,646
2678,1292
2679,288
2680,2677
2681,647
2682,2835
2683,1006
2684,2499
2685,1225
2686,648
2687,1287
2688,659
2689,649
2690,868
2691,2
2692,39
2693,123
2694,863
2695,124
2696,125
2697,1404
2698,236
2699,687
2700,435
2701,1070
2702,126
2703,1111
2704,127
2705,15
2706,1483
2707,15
2708,2554
2709,8
2710,1196
2711,234
2712,697
2713,1613
2714,698
2715,798
2716,2509
2717,699
2718,43
2719,53
2720,2
2721,60
2722,18
2723,2209
2724,1362
2725,1363
2726,1364
2727,1366
2728,2027
2729,2016
2730,1367
2731,1368
2732,945
2733,2565
2734,1369
2735,1370
2736,1371
2737,1365
2738,2445
2739,2446
2740,125
2741,16
2742,2447
2743,697
2744,45
2745,2448
2746,487
2747,15
2748,2832
2749,2449
2750,15
2751,37
2752,2450
2753,2444
2754,1701
2755,2197
